|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary
0|1966|Ted Williams|1st|282|93.4%|354|73|19|122.0|68.1|95.0|53.4|2292|7706|1798|2654|521|1839|24|2021|.344|.482|.634|1.116|191|0|0|4.50|116|1.500|1|0|0|2.0|3|0|0|1|*79H/1
1|1966|Red Ruffing HOF|14th|208|68.9%|130|38|22|68.6|39.9|54.3|61.4|882|1937|207|521|36|273|1|97|.269|.306|.389|.695|81|273|225|3.80|109|1.341|624|538|18|4344.0|4284|254|1541|1987|*1H/79
2|1966|Roy Campanella HOF|2nd|197|65.2%|152|43|18|41.8|35.0|38.4|44.2|1432|4956|771|1403|259|1015|35|608|.283|.364|.498|.861|126|1|0|5.28|79|1.239|2|2|0|15.1|13|1|6|16|*2H/97815
3|1966|Joe Medwick HOF|7th|187|61.9%|200|47|17|54.5|39.3|46.9|53.4|1984|7635|1198|2471|205|1383|42|437|.324|.362|.505|.867|134||||||||| |||||*7H9/38
4|1966|Lou Boudreau HOF|6th|115|38.1%|89|34|15|63.3|49.1|56.2|55.4|1646|6029|861|1779|68|789|51|796|.295|.380|.415|.795|120||||||||| |||||*65H/342
5|1966|Al Lopez HOF|9th|109|36.1%|71|24|19|16.3|11.2|13.8|44.2|1950|5916|613|1547|51|652|46|556|.261|.326|.337|.663|83||||||||| |||||*2H/453
6|1966|Enos Slaughter HOF|1st|100|33.1%|90|41|19|57.8|37.4|47.6|56.7|2380|7946|1247|2383|169|1304|71|1018|.300|.382|.453|.834|124||||||||| |||||*9*7*H/8
7|1966|Pee Wee Reese HOF|2nd|95|31.5%|100|39|16|68.4|42.0|55.2|55.4|2166|8058|1338|2170|126|885|232|1210|.269|.366|.377|.743|99||||||||| |||||*65H
8|1966|Marty Marion|5th|86|28.5%|57|17|13|31.9|25.8|28.8|55.4|1572|5506|602|1448|36|624|35|470|.263|.323|.345|.668|81||||||||| |||||*6/H5
9|1966|Johnny Mize HOF|4th|81|26.8%|175|47|15|70.7|48.5|59.6|53.8|1884|6443|1118|2011|359|1337|28|856|.312|.397|.562|.959|158||||||||| |||||*3H/9
10|1966|Ralph Kiner HOF|4th|74|24.5%|137|35|10|48.1|42.7|45.4|53.4|1472|5205|971|1451|369|1015|22|1011|.279|.398|.548|.946|149||||||||| |||||*783H
11|1966|Johnny Vander Meer|7th|72|23.8%|33|12|13|25.7|24.9|25.3|61.4|382|685|58|104|1|26|1|41|.152|.200|.180|.379|6|119|121|3.44|107|1.393|346|286|2|2104.2|1799|100|1132|1294|*1H
12|1966|Allie Reynolds|5th|60|19.9%|110|33|13|25.4|21.0|23.2|61.4|475|857|56|140|1|79|1|61|.163|.223|.198|.422|18|182|107|3.30|109|1.386|434|309|48|2492.1|2193|133|1261|1423|*1H
13|1966|Bucky Walters|9th|56|18.5%|105|27|19|53.5|43.3|48.4|61.4|715|1966|227|477|23|234|12|114|.243|.286|.344|.630|69|198|160|3.30|116|1.324|428|398|4|3104.2|2990|155|1121|1107|*15H/478
14|1966|Phil Rizzuto HOF|4th|54|17.9%|87|23|13|42.2|34.7|38.4|55.4|1661|5816|877|1588|38|563|149|651|.273|.351|.355|.706|93||||||||| |||||*6/H4
15|1966|Arky Vaughan HOF|9th|36|11.9%|116|53|14|78.0|53.2|65.6|55.4|1817|6622|1173|2103|96|926|118|937|.318|.406|.453|.859|136||||||||| |||||*65H7/4
