|player|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|is_in_hof|years_on_ballot
0|Ty Cobb|445.0|75.0|24.0|151.4|69.0|110.2|58.1|3034.0|11440.0|2245.0|4189.0|117.0|1944.0|897.0|1249.0|0.366|0.433|0.512|0.944|168.0|0.0|0.0|3.6|99.0|1.6|3.0|0.0|1.0|5.0|6.0|0.0|2.0|0.0|*8*9H7/3145|True|1
1|Babe Ruth|411.0|79.0|22.0|162.7|85.3|124.0|56.7|2503.0|8399.0|2174.0|2873.0|714.0|2214.0|123.0|2062.0|0.342|0.474|0.69|1.164|206.0|94.0|46.0|2.28|122.0|1.159|163.0|147.0|4.0|1221.1|974.0|10.0|441.0|488.0|*9*71H83|True|1
2|Honus Wagner|313.0|75.0|21.0|130.8|65.3|98.0|55.4|2794.0|10439.0|1739.0|3420.0|101.0|1732.0|723.0|963.0|0.328|0.391|0.467|0.858|151.0|0.0|0.0|0.0||1.56|2.0|0.0|0.0|8.1|7.0|0.0|6.0|6.0|*6*O3594H7/81|True|1
3|Christy Mathewson|303.0|84.0|17.0|106.6|70.2|88.4|61.4|647.0|1687.0|151.0|362.0|7.0|167.0|20.0|116.0|0.215|0.272|0.271|0.543|60.0|373.0|188.0|2.13|136.0|1.058|636.0|552.0|30.0|4788.2|4219.0|89.0|848.0|2507.0|*1/H397|True|1
4|Walter Johnson|364.0|82.0|21.0|164.9|89.4|127.2|61.4|934.0|2324.0|241.0|547.0|24.0|255.0|13.0|110.0|0.235|0.274|0.342|0.616|76.0|417.0|279.0|2.17|147.0|1.061|802.0|666.0|34.0|5914.1|4913.0|97.0|1363.0|3509.0|*1H/897|True|1
5|Nap Lajoie|264.0|66.0|21.0|106.9|60.1|83.5|57.1|2480.0|9590.0|1504.0|3243.0|82.0|1599.0|380.0|516.0|0.338|0.38|0.466|0.846|150.0||||||||| |||||*436H/O57|True|2
6|Tris Speaker|257.0|74.0|22.0|134.8|62.6|98.7|58.1|2789.0|10195.0|1882.0|3514.0|117.0|1531.0|436.0|1381.0|0.345|0.428|0.5|0.928|158.0|0.0|0.0|9.0|47.0|2.0|1.0|0.0|0.0|1.0|2.0|0.0|0.0|0.0|*8H/3971|True|2
7|Cy Young|338.0|82.0|22.0|163.6|78.0|120.8|61.4|918.0|2960.0|325.0|623.0|18.0|290.0|29.0|81.0|0.21|0.234|0.282|0.516|45.0|511.0|315.0|2.63|138.0|1.13|906.0|815.0|18.0|7356.0|7092.0|138.0|1217.0|2803.0|*1/3H|True|2
8|Rogers Hornsby|350.0|76.0|23.0|127.3|74.1|100.7|57.1|2259.0|8173.0|1579.0|2930.0|301.0|1584.0|135.0|1038.0|0.358|0.434|0.577|1.01|175.0||||||||| |||||*4*65H3/978|True|5
9|Mickey Cochrane|137.0|54.0|13.0|49.9|36.6|43.3|44.2|1482.0|5169.0|1041.0|1652.0|119.0|830.0|64.0|857.0|0.32|0.419|0.478|0.897|129.0||||||||| |||||*2H/7|True|6
10|George Sisler|200.0|44.0|15.0|54.8|47.1|51.0|53.8|2055.0|8267.0|1284.0|2812.0|102.0|1178.0|375.0|472.0|0.34|0.379|0.468|0.847|125.0|5.0|6.0|2.35|126.0|1.288|24.0|12.0|3.0|111.0|91.0|0.0|52.0|63.0|*3H/197845|True|4
11|Eddie Collins|250.0|71.0|25.0|124.4|64.2|94.3|57.1|2826.0|9949.0|1821.0|3315.0|47.0|1299.0|741.0|1499.0|0.333|0.424|0.429|0.853|142.0||||||||| |||||*4H6/8975|True|4
12|Jimmy Collins|43.0|26.0|14.0|53.3|38.6|45.9|55.7|1725.0|6795.0|1055.0|1999.0|65.0|983.0|194.0|426.0|0.294|0.343|0.409|0.752|113.0||||||||| |||||*5/OH64|False|6
13|Pete Alexander|257.0|77.0|20.0|119.3|69.7|94.5|61.4|703.0|1810.0|154.0|378.0|11.0|163.0|3.0|77.0|0.209|0.242|0.275|0.517|43.0|373.0|208.0|2.56|135.0|1.121|696.0|600.0|32.0|5190.0|4868.0|165.0|951.0|2198.0|*1/H7|True|3
14|Lou Gehrig|352.0|72.0|17.0|113.6|67.6|90.6|53.8|2164.0|8001.0|1888.0|2721.0|493.0|1995.0|102.0|1508.0|0.34|0.447|0.632|1.08|179.0||||||||| |||||*3/H976|False|1
