|year|player|year_on_ballot|year_on_ballot_int|votes|votes_pct|votes_pct_num
0|1936|Ty Cobb|1st|1|222|98.2%|98.2
1|1936|Babe Ruth|1st|1|215|95.1%|95.1
2|1936|Honus Wagner|1st|1|215|95.1%|95.1
3|1936|Christy Mathewson|1st|1|205|90.7%|90.7
4|1936|Walter Johnson|1st|1|189|83.6%|83.6
5|1936|Nap Lajoie|1st|1|146|64.6%|64.6
6|1936|Tris Speaker|1st|1|133|58.8%|58.8
7|1936|Cy Young|1st|1|111|49.1%|49.1
8|1936|Rogers Hornsby|1st|1|105|46.5%|46.5
9|1936|Mickey Cochrane|1st|1|80|35.4%|35.4
10|1936|George Sisler|1st|1|77|34.1%|34.1
11|1936|Eddie Collins|1st|1|60|26.5%|26.5
12|1936|Jimmy Collins|1st|1|58|25.7%|25.7
13|1936|Pete Alexander|1st|1|55|24.3%|24.3
14|1936|Lou Gehrig|1st|1|51|22.6%|22.6
15|1936|Roger Bresnahan|1st|1|47|20.8%|20.8
16|1936|Willie Keeler|1st|1|40|17.7%|17.7
17|1936|Rube Waddell|1st|1|33|14.6%|14.6
18|1936|Jimmie Foxx|1st|1|21|9.3%|9.3
19|1936|Ed Walsh|1st|1|20|8.8%|8.8
20|1936|Ed Delahanty|1st|1|17|7.5%|7.5
21|1936|Pie Traynor|1st|1|16|7.1%|7.1
22|1936|Frankie Frisch|1st|1|14|6.2%|6.2
23|1936|Lefty Grove|1st|1|12|5.3%|5.3
24|1936|Hal Chase|1st|1|11|4.9%|4.9
25|1936|Ross Youngs|1st|1|10|4.4%|4.4
26|1936|Bill Terry|1st|1|9|4.0%|4.0
27|1936|Johnny Kling|1st|1|8|3.5%|3.5
28|1936|Lou Criger|1st|1|7|3.1%|3.1
29|1936|Johnny Evers|1st|1|6|2.7%|2.7
30|1936|Mordecai Brown|1st|1|6|2.7%|2.7
31|1936|Frank Chance|1st|1|5|2.2%|2.2
32|1936|Al Simmons|1st|1|4|1.8%|1.8
33|1936|John McGraw|1st|1|4|1.8%|1.8
34|1936|Ray Schalk|1st|1|4|1.8%|1.8
35|1936|Shoeless Joe Jackson|1st|1|2|0.9%|0.9
36|1936|Edd Roush|1st|1|2|0.9%|0.9
37|1936|Charles Bender|1st|1|2|0.9%|0.9
38|1936|Nap Rucker|1st|1|1|0.4%|0.4
39|1936|Rube Marquard|1st|1|1|0.4%|0.4
40|1936|Connie Mack|1st|1|1|0.4%|0.4
41|1936|Kid Elberfeld|1st|1|1|0.4%|0.4
42|1936|Dazzy Vance|1st|1|1|0.4%|0.4
43|1936|Sam Crawford|1st|1|1|0.4%|0.4
44|1936|Fred Clarke|1st|1|1|0.4%|0.4
45|1936|Bill Bradley|1st|1|1|0.4%|0.4
46|1936|Home Run Baker|1st|1|1|0.4%|0.4
47|1936|Gabby Hartnett|1st|1|0|0.0%|0.0
48|1936|Billy Sullivan|1st|1|0|0.0%|0.0
49|1936|Charlie Gehringer|1st|1|0|0.0%|0.0
50|1937|Nap Lajoie|2nd|2|168|83.6%|83.6
51|1937|Tris Speaker|2nd|2|165|82.1%|82.1
52|1937|Cy Young|2nd|2|153|76.1%|76.1
53|1937|Pete Alexander|2nd|2|125|62.2%|62.2
54|1937|Eddie Collins|2nd|2|115|57.2%|57.2
55|1937|Willie Keeler|2nd|2|115|57.2%|57.2
56|1937|George Sisler|2nd|2|106|52.7%|52.7
57|1937|Ed Delahanty|2nd|2|70|34.8%|34.8
58|1937|Rube Waddell|2nd|2|67|33.3%|33.3
59|1937|Jimmy Collins|2nd|2|66|32.8%|32.8
60|1937|Ed Walsh|2nd|2|56|27.9%|27.9
61|1937|Rogers Hornsby|2nd|2|53|26.4%|26.4
62|1937|Frank Chance|2nd|2|49|24.4%|24.4
63|1937|Johnny Evers|2nd|2|44|21.9%|21.9
64|1937|Roger Bresnahan|2nd|2|43|21.4%|21.4
65|1937|Mordecai Brown|2nd|2|31|15.4%|15.4
66|1937|Rabbit Maranville|1st|1|25|12.4%|12.4
67|1937|Ray Schalk|2nd|2|24|11.9%|11.9
68|1937|Eddie Plank|1st|1|23|11.4%|11.4
69|1937|Fred Clarke|2nd|2|22|10.9%|10.9
70|1937|Johnny Kling|2nd|2|20|10.0%|10.0
71|1937|Hal Chase|2nd|2|18|9.0%|9.0
72|1937|Charles Bender|2nd|2|17|8.5%|8.5
73|1937|Lou Criger|2nd|2|16|8.0%|8.0
